"determinant","lower","current","upper","weight","p_delta"
"When I use a face mask, I feel or would feel ... [ Very uncomfortable | Very comfortable ]",0,0.431044600938967,1,0.359957998856488,0.204800046884604
"How likely do you think you would get a coronavirus
infection in your free time in the next month if you did
nothing to protect yourself from it? [ Very unlikely | Very likely ]",0,0.421214788732394,1,0.325546695409499,0.188421612880057
"What consequences do you think it has if you use a face
mask in your free time? If or when I use a face mask… [ I produce
unnecessary waste | I do not produce
unnecessary waste ]",0,0.511370305164319,1,0.360877362367429,0.176335395446702
"Consequences of measures taken to prevent the spread of the
coronavirus... [ Doesn't scare me | Scares me ]",0,0.401335093896714,1,-0.286810790834136,-0.171703555164128
"The fact that I would get infected myself .. [ Doesn't scare me | Scares me ]",0,0.535357981220657,1,0.365005088650774,0.169596701255429
"If you got a coronavirus infection, how serious a threat
would you rate it to your health? [ Not serious at all | Very serious ]",0,0.566754694835681,1,0.388778075332089,0.168436275888448
"Spread of coronavirus… [ Doesn't scare me | Scares me ]",0,0.581572769953052,1,0.388443673513976,0.162535410337714
"When I use a face mask, I feel or would feel ... [ Very anxious | Very calm ]",0,0.59330985915493,1,0.380871606820216,0.154896727421602
"When I use a face mask, I feel or would feel ... [ Very insecure | Very safe ]",0,0.66006455399061,1,0.413471414543766,0.140553589715068
"What consequences do you think it has if you use a face
mask in your free time? If or when I use a face mask… [ I get enough oxygen | I don't get enough
oxygen ]",0,0.592136150234742,1,0.335285803208664,0.136750958468322
"What consequences do you think it has if you use a face
mask in your free time? If or when I use a face mask… [ It decreases sense
of community | It increases sense
of community ]",0,0.621112089201878,1,0.330128612519272,0.12508174029211
"Taking a mask with you to a store or public transport, for
example, has already become automatic for some and is done
without thinking. For others, taking a mask with them is
not automatic at all, but requires conscious thinking and
effort. [ 1 Not at all
automatic | 7 Fully automatic ]",0,0.760636737089202,1,0.520920633837501,0.124689262632905
"Using a face mask [ Ineffective | Effective ]",0,0.775528169014085,1,0.519747365705107,0.116668642829932
"Putting on a mask, for example in a shop or on public
transport, has already become automatic for some and it
happens without thinking. For others, putting on a mask is
not automatic at all, but requires conscious thinking and
effort. [ 1 Not at all
automatic | 7 Fully automatic ]",0,0.781103286384977,1,0.528436883197196,0.115673097084832
"When I use a face mask, I feel or would feel ... [ Very easy to
breathe | Very difficult to
breathe ]",0,0.54012617370892,1,-0.248453330570612,-0.11425718378427
"What consequences do you think it has if you use a face
mask in your free time? If or when I use a face mask… [ I expose myself to
coronavirus
infection | I protect myself
from coronavirus
infection ]",0,0.734154929577465,1,0.384745378036314,0.102282662118809
"That my loved one would get infected... [ Doesn't scare me | Scares me ]",0,0.719923708920188,1,0.356365817907727,0.0998096165472199
"In the indoors spaces I visit, people on the site think I
should… [ Not to use a mask | Use a mask ]",0,0.801863262910798,1,0.475600532958183,0.0942339377582199
"When I use a face mask, I feel or would feel ... [ Very irresponsible | Very responsible ]",0,0.803770539906103,1,0.46029674593415,0.0903237819376358
"Who thinks you should use a face mask and who thinks not?
In the following questions, by using a face mask, we mean
holding a cloth or disposable face mask, surgical mask, or
respirator on the face so that it covers the nose and
mouth. The questions concern leisure time. My family and
friends think I should .. [ Not to use a mask | Use a mask ]",0,0.819835680751174,1,0.473166921606604,0.0852477963223165
"How likely do you think you will get a coronavirus
infection in your free time in the next month? [ Very unlikely | Very likely ]",0,0.187122736418511,1,0.0850024807509332,0.0690965839504567
"What consequences do you think it has if you use a face
mask in your free time? If or when I use a face mask… [ I expose others to
coronavirus
infection | I protect others
from coronavirus
infection ]",0,0.86274941314554,1,0.477245917982385,0.0655022823169779
"Keeping a safety distance (2 meters) [ Ineffective | Effective ]",0,0.82643779342723,1,0.358403062844842,0.06220522642979
"Ventilation [ Ineffective | Effective ]",0,0.754474765258216,1,0.239091894695795,0.0587030935700429
"People at risk think I should .. [ Not to use a mask | Use a mask ]",0,0.889451291079812,1,0.397765612227609,0.0439724748846102
"If two unvaccinated people from different households meet
indoors, what means do you think would be effective in
preventing coronavirus infection? Hand washing and use of
gloves [ Ineffective | Effective ]",0,0.851232394366197,1,0.193473669308498,0.0287826145362114
"The authorities think I should .. [ Not to use a mask | Use a mask ]",0,0.917620305164319,1,0.323178020601546,0.0266233067147547
